"Gender","Age","Driving_License","Region_Code","Previously_Insured","Vehicle_Age","Vehicle_Damage","Annual_Premium","Policy_Sales_Channel","Vintage","Response"
"Female",-6.7637,"1","41","0","< 1 Year","Yes","low","160",124,"0"
"Male",12.2363,"1","8","1","1-2 Year","No","high","26",142,"0"
"Male",-16.7637,"1","15","1","< 1 Year","No","medium","152",47,"0"
"Male",4.2363,"1","9","0","1-2 Year","Yes","high","124",291,"0"
"Male",11.2363,"1","8","0","1-2 Year","Yes","medium","25",199,"0"
"Female",-18.7637,"1","9","1","< 1 Year","No","medium","160",74,"0"
"Male",20.2363,"1","47","1","1-2 Year","No","medium","16",222,"0"
"Male",-3.7637,"1","46","0","1-2 Year","No","medium","124",241,"0"
"Female",6.2363,"1","11","0","1-2 Year","Yes","high","124",228,"0"
"Male",25.2363,"1","29","1","1-2 Year","No","medium","26",258,"0"
"Female",-1.7637,"1","28","0","1-2 Year","Yes","medium","124",138,"0"
"Male",-14.7637,"1","6","0","< 1 Year","Yes","medium","124",126,"1"
"Female",-13.7637,"1","14","1","< 1 Year","No","high","152",209,"0"
"Male",17.2363,"1","50","0","1-2 Year","Yes","low","66",290,"0"
"Female",-3.7637,"1","29","1","1-2 Year","No","low","152",124,"0"
"Male",23.2363,"1","28","1","1-2 Year","No","high","26",265,"0"
"Female",3.2363,"1","28","0","1-2 Year","Yes","high","26",280,"1"
"Female",-16.7637,"1","37","0","< 1 Year","Yes","medium","152",30,"0"
"Female",-9.7637,"1","28","1","< 1 Year","No","high","156",119,"0"
"Male",7.2363,"1","10","1","1-2 Year","No","medium","26",91,"0"
"Male",-11.7637,"1","28","0","< 1 Year","Yes","medium","152",92,"0"
"Male",26.2363,"1","28","0","> 2 Years","Yes","high","26",126,"0"
"Female",17.2363,"1","28","0","1-2 Year","Yes","high","26",157,"1"
"Female",-12.7637,"1","27","0","< 1 Year","No","low","152",89,"0"
"Female",-7.7637,"1","41","0","< 1 Year","Yes","medium","152",43,"0"
"Male",-13.7637,"1","49","1","< 1 Year","No","medium","152",138,"0"
"Female",-15.7637,"1","25","0","< 1 Year","No","low","152",190,"0"
"Male",24.2363,"1","28","1","1-2 Year","No","high","26",41,"0"
"Male",-11.7637,"1","18","1","< 1 Year","No","high","152",229,"0"
"Female",-14.7637,"1","36","1","< 1 Year","No","medium","152",299,"0"
"Male",3.2363,"1","41","0","1-2 Year","Yes","medium","154",52,"1"
"Male",-14.7637,"1","28","1","< 1 Year","No","low","152",295,"0"
"Male",13.2363,"1","8","1","1-2 Year","No","low","26",45,"0"
"Female",5.2363,"1","28","0","1-2 Year","Yes","medium","26",120,"0"
"Male",19.2363,"1","28","1","1-2 Year","No","high","52",60,"0"
"Male",11.2363,"1","29","0","1-2 Year","Yes","high","124",112,"0"
"Female",-0.7637,"1","11","0","1-2 Year","Yes","low","156",250,"1"
"Male",-13.7637,"1","41","1","< 1 Year","No","medium","152",46,"0"
"Male",-3.7637,"1","15","1","1-2 Year","No","medium","152",280,"0"
"Male",9.2363,"1","3","0","1-2 Year","Yes","low","156",115,"0"
"Male",36.2363,"1","8","1","1-2 Year","No","low","26",11,"0"
"Male",6.2363,"1","28","0","1-2 Year","Yes","medium","26",154,"0"
"Male",17.2363,"1","0","1","1-2 Year","No","low","26",292,"0"
"Male",14.2363,"1","50","0","1-2 Year","Yes","low","8",212,"0"
"Male",-2.7637,"1","8","1","1-2 Year","No","high","124",112,"0"
"Male",-1.7637,"1","28","1","1-2 Year","No","medium","26",99,"0"
"Female",-14.7637,"1","18","0","< 1 Year","Yes","medium","152",62,"1"
"Female",-15.7637,"1","29","1","< 1 Year","No","medium","152",190,"0"
"Female",38.2363,"1","38","1","1-2 Year","No","low","152",184,"0"
"Male",8.2363,"1","38","1","1-2 Year","No","low","26",233,"0"
"Male",-11.7637,"1","27","0","< 1 Year","Yes","medium","152",138,"0"
"Female",-13.7637,"1","30","1","< 1 Year","No","medium","152",211,"0"
"Male",-8.7637,"1","9","1","< 1 Year","No","medium","152",238,"0"
"Female",4.2363,"1","41","0","1-2 Year","Yes","medium","156",183,"0"
"Male",4.2363,"1","35","0","> 2 Years","Yes","high","124",259,"0"
"Female",7.2363,"1","41","1","1-2 Year","Yes","medium","12",46,"0"
"Female",-7.7637,"1","46","0","< 1 Year","Yes","high","26",63,"0"
"Female",-2.7637,"1","30","0","1-2 Year","Yes","high","124",83,"0"
"Male",-15.7637,"1","29","1","< 1 Year","No","low","160",50,"0"
"Male",18.2363,"1","20","0","> 2 Years","Yes","low","26",82,"1"
"Male",-12.7637,"1","2","1","< 1 Year","No","medium","152",57,"0"
"Female",32.2363,"1","28","0","1-2 Year","Yes","low","156",92,"0"
"Male",-6.7637,"1","18","1","< 1 Year","No","medium","152",88,"0"
"Male",-14.7637,"1","28","0","< 1 Year","Yes","medium","152",117,"0"
"Female",-3.7637,"1","50","0","1-2 Year","Yes","low","26",202,"1"
"Female",13.2363,"1","46","0","1-2 Year","Yes","medium","26",20,"0"
"Male",-15.7637,"1","3","0","1-2 Year","Yes","medium","124",194,"0"
"Female",-11.7637,"1","30","1","< 1 Year","No","medium","152",248,"0"
"Female",-13.7637,"1","41","1","< 1 Year","No","low","152",165,"0"
"Male",16.2363,"1","28","0","1-2 Year","Yes","medium","124",80,"0"
"Male",-12.7637,"1","3","1","< 1 Year","No","high","160",297,"0"
"Female",-12.7637,"1","6","1","< 1 Year","No","low","152",226,"0"
"Female",23.2363,"1","8","1","1-2 Year","No","medium","26",286,"0"
"Female",-8.7637,"1","30","1","< 1 Year","No","medium","152",197,"0"
"Female",4.2363,"1","18","1","1-2 Year","No","medium","26",189,"0"
"Female",-15.7637,"1","36","1","< 1 Year","Yes","medium","152",139,"0"
"Female",27.2363,"1","36","0","1-2 Year","Yes","high","26",283,"0"
"Female",-15.7637,"1","11","1","< 1 Year","No","high","152",272,"0"
"Female",-17.7637,"1","36","0","< 1 Year","Yes","medium","152",144,"0"
"Male",5.2363,"1","18","0","1-2 Year","Yes","medium","124",72,"0"
"Male",27.2363,"1","28","0","1-2 Year","No","high","26",83,"0"
"Male",-14.7637,"1","46","1","< 1 Year","No","medium","152",176,"0"
"Male",5.2363,"1","28","0","1-2 Year","Yes","high","26",138,"0"
"Male",6.2363,"1","28","0","1-2 Year","Yes","medium","26",285,"0"
"Male",0.2363,"1","28","0","1-2 Year","Yes","medium","124",58,"0"
"Female",-16.7637,"1","6","1","< 1 Year","No","low","152",294,"0"
"Male",-17.7637,"1","26","0","< 1 Year","No","high","152",241,"0"
"Male",-5.7637,"1","30","0","< 1 Year","Yes","medium","152",23,"1"
"Male",2.2363,"1","28","0","1-2 Year","Yes","low","125",152,"0"
"Female",-10.7637,"1","15","0","< 1 Year","No","medium","152",57,"0"
"Female",9.2363,"1","29","1","1-2 Year","No","low","124",141,"0"
"Male",9.2363,"1","28","0","1-2 Year","Yes","medium","26",20,"0"
"Female",5.2363,"1","41","1","1-2 Year","No","medium","124",253,"0"
"Female",8.2363,"1","49","1","1-2 Year","No","low","124",276,"0"
"Male",-14.7637,"1","25","0","< 1 Year","Yes","low","124",260,"1"
"Male",-12.7637,"1","46","1","< 1 Year","No","high","152",64,"0"
"Male",11.2363,"1","0","0","1-2 Year","No","low","26",167,"0"
"Female",1.2363,"1","50","1","1-2 Year","No","medium","124",65,"0"
"Female",-14.7637,"1","41","1","< 1 Year","No","medium","152",41,"0"
"Male",13.2363,"1","11","0","1-2 Year","Yes","high","29",198,"1"
"Female",-17.7637,"1","46","0","< 1 Year","No","low","160",150,"0"
"Male",-2.7637,"1","15","0","1-2 Year","Yes","medium","14",51,"0"
"Female",-15.7637,"1","8","0","< 1 Year","No","high","26",187,"0"
"Female",-16.7637,"1","3","0","< 1 Year","Yes","medium","152",250,"0"
"Male",34.2363,"1","41","1","1-2 Year","No","medium","124",207,"0"
"Male",4.2363,"1","47","1","1-2 Year","No","high","124",57,"0"
"Female",13.2363,"1","47","0","> 2 Years","Yes","medium","124",194,"1"
"Female",-15.7637,"1","46","1","< 1 Year","No","low","152",57,"0"
"Male",20.2363,"1","29","0","1-2 Year","Yes","low","26",91,"1"
"Male",-14.7637,"1","50","1","< 1 Year","No","medium","152",119,"0"
"Male",-6.7637,"1","3","0","< 1 Year","Yes","low","156",293,"0"
"Male",-18.7637,"1","36","0","< 1 Year","Yes","medium","160",50,"1"
"Male",20.2363,"1","30","1","1-2 Year","No","medium","152",59,"0"
"Female",-13.7637,"1","17","0","< 1 Year","Yes","high","152",68,"0"
"Male",20.2363,"1","28","1","1-2 Year","No","high","122",220,"0"
"Female",-10.7637,"1","14","1","< 1 Year","No","medium","152",31,"0"
"Male",13.2363,"1","8","0","1-2 Year","Yes","high","7",63,"1"
"Male",2.2363,"1","6","0","1-2 Year","Yes","medium","124",269,"0"
"Female",-17.7637,"1","36","0","< 1 Year","No","medium","152",42,"0"
"Male",3.2363,"1","50","0","1-2 Year","Yes","medium","8",181,"0"
"Female",-14.7637,"1","6","1","< 1 Year","No","medium","152",252,"0"
"Male",33.2363,"1","28","1","1-2 Year","No","medium","26",283,"0"
"Female",-8.7637,"1","47","1","< 1 Year","No","high","152",42,"0"
"Male",-13.7637,"1","13","0","< 1 Year","Yes","medium","152",83,"0"
"Male",-18.7637,"1","46","0","< 1 Year","Yes","medium","160",242,"0"
"Female",17.2363,"1","8","0","1-2 Year","Yes","medium","156",100,"1"
"Male",-14.7637,"1","3","1","< 1 Year","No","low","152",235,"0"
"Male",-8.7637,"1","28","0","< 1 Year","No","low","152",281,"0"
"Male",-3.7637,"1","28","1","1-2 Year","No","medium","124",173,"0"
"Male",-14.7637,"1","47","1","< 1 Year","No","high","152",273,"0"
"Female",12.2363,"1","30","0","1-2 Year","Yes","medium","122",120,"0"
"Male",-14.7637,"1","36","0","< 1 Year","Yes","low","152",255,"0"
"Male",-5.7637,"1","3","0","1-2 Year","Yes","low","124",77,"0"
"Male",-11.7637,"1","36","0","< 1 Year","Yes","medium","152",15,"0"
"Female",3.2363,"1","36","0","1-2 Year","Yes","high","26",255,"0"
"Male",34.2363,"1","28","0","1-2 Year","Yes","low","156",255,"0"
"Female",-15.7637,"1","26","0","< 1 Year","Yes","medium","152",151,"0"
"Male",10.2363,"1","46","1","1-2 Year","No","low","152",254,"0"
"Female",30.2363,"1","3","0","1-2 Year","Yes","low","26",106,"0"
"Female",-17.7637,"1","27","1","< 1 Year","No","medium","160",177,"0"
"Female",8.2363,"1","28","0","1-2 Year","Yes","low","26",211,"1"
"Male",7.2363,"1","43","0","1-2 Year","Yes","medium","124",141,"0"
"Female",-14.7637,"1","10","0","< 1 Year","Yes","medium","152",161,"0"
"Female",26.2363,"1","28","0","< 1 Year","No","low","1",10,"0"
"Male",38.2363,"1","28","0","1-2 Year","Yes","high","122",189,"0"
"Female",-16.7637,"1","44","1","< 1 Year","No","low","152",160,"0"
"Male",6.2363,"1","35","0","1-2 Year","Yes","low","163",202,"1"
"Female",-12.7637,"1","29","1","< 1 Year","No","medium","152",226,"0"
"Female",-9.7637,"1","28","0","< 1 Year","Yes","high","163",137,"1"
"Male",33.2363,"1","41","1","1-2 Year","No","medium","124",159,"0"
"Male",-13.7637,"1","9","0","< 1 Year","No","medium","152",59,"0"
"Male",8.2363,"1","28","0","1-2 Year","Yes","high","124",208,"1"
"Male",37.2363,"1","28","0","1-2 Year","No","high","124",91,"0"
"Male",18.2363,"1","46","0","1-2 Year","Yes","low","124",15,"0"
"Female",41.2363,"1","28","0","1-2 Year","Yes","medium","26",280,"0"
"Female",6.2363,"1","46","1","1-2 Year","No","low","11",180,"0"
"Female",-16.7637,"1","41","1","< 1 Year","No","high","152",236,"0"
"Male",5.2363,"1","28","0","> 2 Years","Yes","low","157",83,"0"
"Male",-15.7637,"1","46","1","< 1 Year","No","low","152",151,"0"
"Male",-16.7637,"1","30","1","< 1 Year","No","medium","152",187,"0"
"Male",-14.7637,"1","28","1","< 1 Year","No","high","152",80,"0"
"Male",-8.7637,"1","45","1","< 1 Year","No","medium","152",177,"0"
"Male",15.2363,"1","28","0","> 2 Years","Yes","low","124",113,"0"
"Male",5.2363,"1","28","0","1-2 Year","Yes","high","124",66,"0"
"Female",-14.7637,"1","35","1","< 1 Year","No","medium","152",127,"0"
"Male",19.2363,"1","15","1","1-2 Year","No","medium","26",15,"0"
"Female",26.2363,"1","8","1","1-2 Year","No","high","26",126,"0"
"Male",11.2363,"1","28","0","1-2 Year","Yes","medium","124",240,"0"
"Male",-18.7637,"1","8","1","< 1 Year","No","high","160",103,"0"
"Male",5.2363,"1","4","0","1-2 Year","Yes","medium","124",108,"1"
"Male",-16.7637,"1","36","0","< 1 Year","Yes","medium","152",56,"0"
"Male",14.2363,"1","50","0","> 2 Years","Yes","medium","8",96,"0"
"Female",-16.7637,"1","36","0","< 1 Year","Yes","medium","152",39,"0"
"Female",36.2363,"1","28","1","1-2 Year","No","medium","25",260,"0"
"Female",-14.7637,"1","30","1","< 1 Year","No","medium","152",50,"0"
"Female",-5.7637,"1","8","0","1-2 Year","Yes","low","156",183,"0"
"Male",-13.7637,"1","15","1","< 1 Year","No","medium","152",33,"0"
"Male",36.2363,"1","28","1","1-2 Year","No","low","154",177,"0"
"Female",-12.7637,"1","8","1","< 1 Year","No","high","152",176,"0"
"Female",-14.7637,"1","11","1","< 1 Year","No","medium","152",201,"0"
"Male",14.2363,"1","41","0","1-2 Year","Yes","low","26",81,"1"
"Male",32.2363,"0","28","0","1-2 Year","Yes","low","26",244,"0"
"Female",-14.7637,"1","5","1","< 1 Year","No","medium","160",63,"0"
"Male",-17.7637,"1","46","0","< 1 Year","Yes","medium","26",195,"0"
"Female",-10.7637,"1","37","0","< 1 Year","No","medium","152",207,"0"
"Male",18.2363,"1","46","1","1-2 Year","No","medium","26",291,"0"
"Male",3.2363,"1","15","1","1-2 Year","No","medium","124",20,"0"
"Female",-3.7637,"1","36","0","1-2 Year","Yes","low","26",13,"0"
"Male",-3.7637,"1","12","0","1-2 Year","Yes","low","154",70,"0"
"Female",-4.7637,"1","47","0","1-2 Year","Yes","medium","16",241,"0"
"Female",-10.7637,"1","33","1","< 1 Year","No","medium","152",256,"0"
"Male",-1.7637,"1","46","0","1-2 Year","Yes","low","124",123,"0"
"Male",-12.7637,"1","41","1","< 1 Year","No","low","152",148,"0"
"Female",-13.7637,"1","8","1","< 1 Year","No","medium","152",19,"0"
"Male",-17.7637,"1","29","1","< 1 Year","No","medium","152",211,"0"
"Male",-14.7637,"1","50","1","< 1 Year","No","medium","152",56,"0"
"Female",-15.7637,"1","8","1","< 1 Year","No","medium","152",128,"0"
"Male",2.2363,"1","28","0","1-2 Year","Yes","medium","13",105,"1"
"Female",21.2363,"1","41","0","1-2 Year","Yes","medium","124",229,"1"
"Female",8.2363,"1","28","1","1-2 Year","No","medium","124",60,"0"
"Male",23.2363,"1","8","0","1-2 Year","Yes","high","124",193,"0"
"Male",23.2363,"1","48","0","1-2 Year","Yes","low","26",185,"1"
"Male",26.2363,"1","28","0","1-2 Year","No","medium","124",246,"0"
"Male",1.2363,"1","46","0","1-2 Year","Yes","high","131",79,"0"
"Male",7.2363,"1","28","0","1-2 Year","Yes","high","26",85,"1"
"Male",-11.7637,"1","8","1","< 1 Year","No","medium","152",182,"0"
"Male",27.2363,"1","28","0","> 2 Years","Yes","high","163",145,"0"
"Female",-12.7637,"1","28","0","< 1 Year","No","medium","152",47,"0"
"Female",-17.7637,"1","30","1","< 1 Year","No","medium","152",225,"0"
"Male",3.2363,"1","41","0","1-2 Year","Yes","medium","12",246,"1"
"Female",31.2363,"1","8","0","1-2 Year","No","high","25",56,"0"
"Male",-0.7637,"1","14","0","1-2 Year","Yes","medium","124",231,"0"
"Female",-1.7637,"1","19","1","1-2 Year","No","medium","26",261,"0"
"Female",-5.7637,"1","29","0","1-2 Year","Yes","medium","26",289,"0"
"Female",-6.7637,"1","28","0","< 1 Year","Yes","high","152",168,"0"
"Female",22.2363,"1","15","0","1-2 Year","No","high","124",150,"0"
"Female",-13.7637,"1","24","1","< 1 Year","No","low","152",126,"0"
"Male",-10.7637,"1","46","1","< 1 Year","No","medium","152",45,"0"
"Female",5.2363,"1","28","1","1-2 Year","No","high","26",176,"0"
"Female",7.2363,"1","41","1","1-2 Year","No","medium","124",215,"0"
"Female",15.2363,"1","48","0","1-2 Year","Yes","low","122",244,"0"
"Male",-1.7637,"1","45","1","1-2 Year","No","high","107",18,"0"
"Male",11.2363,"1","14","0","1-2 Year","Yes","medium","124",204,"0"
"Male",-15.7637,"1","16","0","< 1 Year","Yes","medium","152",285,"0"
"Female",-13.7637,"1","9","0","< 1 Year","Yes","medium","152",123,"1"
"Female",-16.7637,"1","14","1","< 1 Year","No","medium","152",189,"0"
"Female",32.2363,"1","28","0","1-2 Year","Yes","high","26",129,"1"
"Male",3.2363,"1","28","1","1-2 Year","No","medium","26",261,"0"
"Female",6.2363,"1","28","0","1-2 Year","Yes","high","124",221,"0"
"Female",-16.7637,"1","47","1","< 1 Year","No","medium","152",287,"0"
"Male",1.2363,"1","45","0","< 1 Year","No","low","1",254,"0"
"Female",-6.7637,"1","3","0","1-2 Year","Yes","low","156",285,"0"
"Male",-14.7637,"1","3","0","< 1 Year","Yes","medium","152",40,"0"
"Female",-9.7637,"1","41","0","< 1 Year","No","medium","152",262,"0"
"Male",7.2363,"1","8","1","1-2 Year","No","high","26",296,"0"
"Female",-17.7637,"1","10","1","< 1 Year","No","low","152",205,"0"
"Female",15.2363,"1","28","0","1-2 Year","Yes","medium","26",126,"0"
"Female",-14.7637,"1","28","0","< 1 Year","Yes","high","152",168,"0"
"Female",-1.7637,"1","8","0","1-2 Year","No","high","122",117,"0"
"Male",-14.7637,"1","28","1","< 1 Year","No","medium","152",49,"0"
"Male",-11.7637,"1","2","0","< 1 Year","No","medium","152",205,"0"
"Male",-17.7637,"1","50","0","< 1 Year","Yes","medium","152",113,"0"
"Female",-11.7637,"1","8","1","< 1 Year","No","low","26",59,"0"
"Male",0.2363,"1","30","1","1-2 Year","No","low","152",122,"0"
"Male",-13.7637,"1","28","1","< 1 Year","No","high","152",88,"0"
"Male",-11.7637,"1","15","1","< 1 Year","No","medium","152",47,"0"
"Female",-13.7637,"1","28","1","< 1 Year","No","medium","152",288,"0"
"Male",0.2363,"1","36","1","1-2 Year","No","medium","152",143,"0"
"Female",-0.7637,"1","30","0","1-2 Year","Yes","high","154",210,"1"
"Male",3.2363,"1","41","0","1-2 Year","Yes","low","124",205,"0"
"Male",0.2363,"1","8","0","1-2 Year","Yes","medium","124",263,"1"
"Female",23.2363,"1","31","1","1-2 Year","No","low","152",183,"0"
"Male",-13.7637,"1","11","0","< 1 Year","Yes","medium","152",268,"1"
"Male",-14.7637,"1","8","1","< 1 Year","No","high","152",48,"0"
"Female",-14.7637,"1","11","1","< 1 Year","No","medium","152",288,"0"
"Female",-16.7637,"1","11","1","< 1 Year","No","medium","152",190,"0"
"Female",8.2363,"1","28","1","1-2 Year","No","medium","124",34,"0"
"Female",25.2363,"1","28","1","1-2 Year","No","high","124",162,"0"
"Female",8.2363,"1","28","0","1-2 Year","No","medium","122",68,"0"
"Female",25.2363,"1","17","0","1-2 Year","No","low","26",221,"0"
"Female",-1.7637,"1","28","1","1-2 Year","No","high","13",136,"0"
"Female",-13.7637,"1","7","1","< 1 Year","No","low","152",40,"0"
"Female",16.2363,"1","8","0","1-2 Year","Yes","high","124",72,"0"
"Male",12.2363,"1","17","1","1-2 Year","No","low","124",108,"0"
"Female",4.2363,"1","3","0","1-2 Year","Yes","low","26",296,"0"
"Female",-10.7637,"1","35","0","< 1 Year","Yes","low","152",57,"0"
"Male",-12.7637,"1","41","0","< 1 Year","Yes","medium","152",35,"0"
"Male",2.2363,"1","32","0","1-2 Year","Yes","low","124",128,"0"
"Female",-1.7637,"1","28","1","1-2 Year","No","medium","26",109,"0"
"Female",3.2363,"1","35","1","1-2 Year","No","medium","124",78,"0"
"Female",-12.7637,"1","26","1","< 1 Year","No","low","152",271,"0"
"Male",-13.7637,"1","15","1","< 1 Year","No","medium","152",149,"0"
"Male",2.2363,"1","39","0","1-2 Year","Yes","medium","26",86,"0"
"Male",-2.7637,"1","8","0","1-2 Year","Yes","medium","26",290,"1"
"Female",16.2363,"1","12","1","1-2 Year","No","medium","26",171,"0"
"Male",-17.7637,"1","30","1","< 1 Year","No","low","152",262,"0"
"Male",17.2363,"1","47","0","1-2 Year","Yes","medium","26",172,"0"
"Male",-7.7637,"1","34","1","1-2 Year","No","medium","124",102,"0"
"Male",10.2363,"1","28","0","1-2 Year","Yes","high","124",296,"1"
"Male",-1.7637,"1","28","1","1-2 Year","No","high","29",274,"0"
"Female",-15.7637,"1","36","1","< 1 Year","No","low","151",12,"0"
"Male",-15.7637,"1","8","1","< 1 Year","No","medium","152",39,"0"
"Female",35.2363,"1","46","0","1-2 Year","Yes","low","156",107,"0"
"Male",12.2363,"1","18","0","1-2 Year","Yes","low","124",48,"1"
"Male",3.2363,"1","18","0","1-2 Year","Yes","low","124",102,"0"
"Male",-13.7637,"1","2","0","< 1 Year","No","medium","152",83,"0"
"Male",-5.7637,"1","38","0","< 1 Year","Yes","high","156",40,"0"
"Female",-2.7637,"1","12","1","1-2 Year","No","medium","152",284,"0"
"Male",-15.7637,"1","28","0","< 1 Year","Yes","medium","124",234,"0"
"Female",38.2363,"1","12","0","1-2 Year","Yes","medium","124",15,"0"
"Male",15.2363,"1","28","0","1-2 Year","Yes","medium","114",263,"0"
"Female",-16.7637,"1","41","1","< 1 Year","No","medium","152",264,"0"
"Female",-15.7637,"1","30","1","< 1 Year","No","medium","152",249,"0"
"Male",23.2363,"1","46","0","1-2 Year","Yes","medium","26",296,"0"
"Female",6.2363,"1","4","0","1-2 Year","Yes","low","156",274,"0"
"Female",-16.7637,"1","18","1","< 1 Year","No","medium","152",239,"0"
"Female",14.2363,"1","28","0","1-2 Year","No","medium","26",257,"0"
"Female",35.2363,"1","14","0","> 2 Years","Yes","low","154",285,"0"
"Female",-13.7637,"1","13","1","< 1 Year","No","medium","152",270,"0"
"Male",-14.7637,"1","39","1","1-2 Year","No","high","26",51,"0"
"Female",2.2363,"1","28","0","1-2 Year","Yes","medium","124",221,"1"
"Male",-13.7637,"1","41","1","< 1 Year","No","medium","152",152,"0"
"Male",-15.7637,"1","4","1","< 1 Year","Yes","medium","152",295,"0"
"Female",-11.7637,"1","50","1","< 1 Year","No","medium","152",205,"0"
"Female",4.2363,"1","46","1","1-2 Year","No","low","122",28,"0"
"Female",-15.7637,"1","30","0","< 1 Year","Yes","medium","152",281,"0"
"Female",9.2363,"1","28","0","1-2 Year","Yes","high","124",288,"1"
"Female",-16.7637,"1","41","1","< 1 Year","No","high","152",208,"0"
"Female",-14.7637,"1","13","1","< 1 Year","No","medium","152",219,"0"
"Female",-9.7637,"1","28","0","< 1 Year","Yes","high","152",133,"0"
"Female",-11.7637,"1","3","1","< 1 Year","No","medium","152",90,"0"
"Male",7.2363,"1","48","0","1-2 Year","Yes","low","14",233,"0"
"Male",4.2363,"1","28","0","1-2 Year","Yes","medium","26",34,"1"
"Female",16.2363,"1","28","0","> 2 Years","Yes","medium","122",137,"0"
"Male",-4.7637,"1","15","0","1-2 Year","Yes","medium","124",232,"1"
"Male",17.2363,"1","28","1","1-2 Year","No","medium","25",261,"0"
"Female",10.2363,"1","28","0","1-2 Year","Yes","medium","124",269,"1"
"Male",27.2363,"1","28","0","1-2 Year","Yes","high","26",242,"0"
"Female",-18.7637,"1","9","1","< 1 Year","No","medium","160",178,"0"
"Female",10.2363,"1","28","1","1-2 Year","No","medium","26",138,"0"
"Male",6.2363,"1","28","1","> 2 Years","Yes","medium","111",20,"0"
"Male",-12.7637,"1","14","1","< 1 Year","No","low","152",215,"0"
"Male",5.2363,"1","28","0","1-2 Year","Yes","medium","26",16,"0"
"Female",-13.7637,"1","12","1","< 1 Year","No","medium","26",174,"0"
"Male",6.2363,"1","4","0","1-2 Year","Yes","medium","124",98,"0"
"Female",10.2363,"1","28","0","1-2 Year","Yes","medium","150",119,"1"
"Male",-16.7637,"1","33","1","< 1 Year","Yes","medium","152",152,"0"
"Female",-15.7637,"1","27","0","< 1 Year","Yes","medium","152",84,"1"
"Female",-14.7637,"1","15","0","< 1 Year","Yes","high","152",265,"0"
"Male",3.2363,"1","28","0","1-2 Year","Yes","high","26",70,"1"
"Female",-14.7637,"1","46","0","< 1 Year","Yes","low","154",12,"0"
"Female",-15.7637,"1","46","1","< 1 Year","No","medium","152",215,"0"
"Male",-14.7637,"1","8","1","< 1 Year","No","medium","26",202,"0"
"Female",-15.7637,"1","30","1","< 1 Year","No","low","152",67,"0"
"Female",-5.7637,"1","41","1","1-2 Year","No","low","122",167,"0"
"Male",12.2363,"1","46","1","1-2 Year","No","medium","26",213,"0"
"Female",-10.7637,"1","36","1","< 1 Year","No","medium","152",264,"0"
"Male",3.2363,"1","28","0","1-2 Year","Yes","medium","23",116,"0"
"Female",40.2363,"1","28","0","1-2 Year","Yes","high","26",110,"0"
"Male",-14.7637,"1","50","0","< 1 Year","Yes","medium","152",74,"0"
"Female",23.2363,"1","17","1","1-2 Year","No","low","26",125,"0"
"Male",35.2363,"1","8","1","1-2 Year","No","high","26",68,"0"
"Female",8.2363,"1","30","0","1-2 Year","Yes","medium","124",133,"1"
"Male",-14.7637,"1","8","0","< 1 Year","Yes","high","152",100,"0"
"Male",-14.7637,"1","50","1","< 1 Year","No","medium","152",125,"0"
"Male",-12.7637,"1","11","1","< 1 Year","No","medium","152",63,"0"
"Female",-15.7637,"1","29","1","< 1 Year","No","medium","152",142,"0"
"Female",-8.7637,"1","17","1","< 1 Year","No","low","152",73,"0"
"Male",-14.7637,"1","41","1","< 1 Year","No","medium","152",292,"0"
"Female",-11.7637,"1","35","1","< 1 Year","No","high","152",158,"0"
"Female",-14.7637,"1","2","0","< 1 Year","Yes","medium","152",109,"0"
"Male",27.2363,"1","28","1","1-2 Year","No","medium","26",165,"0"
"Male",-11.7637,"1","35","1","< 1 Year","No","high","152",38,"0"
"Female",-15.7637,"1","47","0","< 1 Year","No","medium","152",292,"0"
"Male",-17.7637,"1","47","1","< 1 Year","No","medium","160",105,"0"
"Male",34.2363,"1","28","0","1-2 Year","Yes","medium","11",290,"0"
"Female",10.2363,"1","47","0","1-2 Year","Yes","medium","26",57,"0"
"Male",9.2363,"1","28","0","1-2 Year","Yes","medium","26",147,"0"
"Female",-14.7637,"1","8","1","< 1 Year","No","high","152",29,"0"
"Female",-0.7637,"1","46","1","1-2 Year","No","medium","91",263,"0"
"Female",-13.7637,"1","17","1","< 1 Year","No","medium","152",67,"0"
"Female",-16.7637,"1","47","0","< 1 Year","No","medium","152",97,"0"
"Female",-12.7637,"1","6","1","< 1 Year","No","medium","152",176,"0"
"Male",-6.7637,"1","13","1","< 1 Year","No","low","152",43,"0"
"Female",-17.7637,"1","41","1","< 1 Year","Yes","low","160",56,"0"
"Male",32.2363,"1","6","1","1-2 Year","Yes","medium","26",264,"0"
"Female",-14.7637,"1","18","1","< 1 Year","No","low","152",218,"0"
"Male",15.2363,"1","28","0","1-2 Year","Yes","high","26",149,"0"
"Female",13.2363,"1","13","0","1-2 Year","Yes","low","156",160,"0"
"Male",15.2363,"1","15","0","1-2 Year","Yes","high","124",182,"0"
"Male",5.2363,"1","28","1","1-2 Year","No","medium","26",77,"0"
"Male",-6.7637,"1","12","0","1-2 Year","Yes","medium","124",38,"1"
"Female",2.2363,"1","48","1","1-2 Year","No","low","26",61,"0"
"Male",2.2363,"1","30","1","1-2 Year","No","low","152",66,"0"
"Male",5.2363,"1","46","0","1-2 Year","Yes","high","124",128,"0"
"Female",7.2363,"1","28","0","1-2 Year","Yes","high","26",221,"1"
